"Libellé";"Indice d'inflation sous-jacente - Base 2015 - Glissement annuel - Ensemble des ménages - France métropolitaine - Ensemble";"Codes"
"idBank";"001768593";""
"Dernière mise à jour";"15/10/2021 08:45";""
"Période";"";""
"2021-09";"1.3";"A"
"2021-08";"1.5";"A"
"2021-07";"0.4";"A"
"2021-06";"1.1";"A"
"2021-05";"0.9";"A"
"2021-04";"1.0";"A"
"2021-03";"0.8";"A"
"2021-02";"0.6";"A"
"2021-01";"1.0";"A"
"2020-12";"0.1";"A"
"2020-11";"0.4";"A"
"2020-10";"0.3";"A"
"2020-09";"0.5";"A"
"2020-08";"0.5";"A"
"2020-07";"1.3";"A"
"2020-06";"0.3";"A"
"2020-05";"0.6";"A"
"2020-04";"0.3";"A"
"2020-03";"0.8";"A"
"2020-02";"1.3";"A"
"2020-01";"1.0";"A"
"2019-12";"1.0";"A"
"2019-11";"0.9";"A"
"2019-10";"0.9";"A"
"2019-09";"0.9";"A"
"2019-08";"0.7";"A"
"2019-07";"0.8";"A"
"2019-06";"0.9";"A"
"2019-05";"0.5";"A"
"2019-04";"0.7";"A"
"2019-03";"0.5";"A"
"2019-02";"0.6";"A"
"2019-01";"0.6";"A"
"2018-12";"0.7";"A"
"2018-11";"0.7";"A"
"2018-10";"0.8";"A"
"2018-09";"0.7";"A"
"2018-08";"0.9";"A"
"2018-07";"0.8";"A"
"2018-06";"0.8";"A"
"2018-05";"1.0";"A"
"2018-04";"0.8";"A"
"2018-03";"0.9";"A"
"2018-02";"0.7";"A"
"2018-01";"0.8";"A"
"2017-12";"0.6";"A"
"2017-11";"0.5";"A"
"2017-10";"0.5";"A"
"2017-09";"0.5";"A"
"2017-08";"0.5";"A"
"2017-07";"0.5";"A"
"2017-06";"0.4";"A"
"2017-05";"0.4";"A"
"2017-04";"0.5";"A"
"2017-03";"0.4";"A"
"2017-02";"0.1";"A"
"2017-01";"0.6";"A"
"2016-12";"0.4";"A"
"2016-11";"0.6";"A"
"2016-10";"0.5";"A"
"2016-09";"0.7";"A"
"2016-08";"0.4";"A"
"2016-07";"0.5";"A"
"2016-06";"0.7";"A"
"2016-05";"0.7";"A"
"2016-04";"0.6";"A"
"2016-03";"0.7";"A"
"2016-02";"0.7";"A"
"2016-01";"0.9";"A"
"2015-12";"1.0";"A"
"2015-11";"0.9";"A"
"2015-10";"0.8";"A"
"2015-09";"0.6";"A"
"2015-08";"0.5";"A"
"2015-07";"0.6";"A"
"2015-06";"0.6";"A"
"2015-05";"0.5";"A"
"2015-04";"0.4";"A"
"2015-03";"0.2";"A"
"2015-02";"0.2";"A"
"2015-01";"0.1";"A"
"2014-12";"-0.1";"A"
"2014-11";"-0.2";"A"
"2014-10";"0.0";"A"
"2014-09";"0.1";"A"
"2014-08";"0.3";"A"
"2014-07";"0.1";"A"
"2014-06";"0.1";"A"
"2014-05";"0.3";"A"
"2014-04";"0.5";"A"
"2014-03";"0.5";"A"
"2014-02";"0.8";"A"
"2014-01";"0.2";"A"
"2013-12";"0.5";"A"
"2013-11";"0.7";"A"
"2013-10";"0.6";"A"
"2013-09";"0.6";"A"
"2013-08";"0.5";"A"
"2013-07";"0.6";"A"
"2013-06";"0.4";"A"
"2013-05";"0.5";"A"
"2013-04";"0.4";"A"
"2013-03";"0.6";"A"
"2013-02";"0.6";"A"
"2013-01";"0.8";"A"
"2012-12";"0.7";"A"
"2012-11";"0.7";"A"
"2012-10";"1.0";"A"
"2012-09";"1.2";"A"
"2012-08";"1.3";"A"
"2012-07";"1.5";"A"
"2012-06";"1.5";"A"
"2012-05";"1.4";"A"
"2012-04";"1.4";"A"
"2012-03";"1.6";"A"
"2012-02";"1.4";"A"
"2012-01";"1.5";"A"
"2011-12";"1.7";"A"
"2011-11";"1.6";"A"
"2011-10";"1.3";"A"
"2011-09";"1.1";"A"
"2011-08";"1.1";"A"
"2011-07";"0.9";"A"
"2011-06";"1.2";"A"
