"Libellé";"Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France - Ensemble";"Codes"
"idBank";"001759970";""
"Dernière mise à jour";"15/10/2021 08:45";""
"Période";"";""
"2021-09";"106.81";"A"
"2021-08";"107.05";"A"
"2021-07";"106.4";"A"
"2021-06";"106.34";"A"
"2021-05";"106.2";"A"
"2021-04";"105.86";"A"
"2021-03";"105.75";"A"
"2021-02";"105.12";"A"
"2021-01";"105.12";"A"
"2020-12";"104.96";"A"
"2020-11";"104.73";"A"
"2020-10";"104.51";"A"
"2020-09";"104.55";"A"
"2020-08";"105.09";"A"
"2020-07";"105.19";"A"
"2020-06";"104.79";"A"
"2020-05";"104.71";"A"
"2020-04";"104.56";"A"
"2020-03";"104.59";"A"
"2020-02";"104.53";"A"
"2020-01";"104.54";"A"
"2019-12";"104.98";"A"
"2019-11";"104.52";"A"
"2019-10";"104.46";"A"
"2019-09";"104.5";"A"
"2019-08";"104.86";"A"
"2019-07";"104.38";"A"
"2019-06";"104.58";"A"
"2019-05";"104.33";"A"
"2019-04";"104.22";"A"
"2019-03";"103.89";"A"
"2019-02";"103.06";"A"
"2019-01";"103.01";"A"
"2018-12";"103.47";"A"
"2018-11";"103.45";"A"
"2018-10";"103.67";"A"
"2018-09";"103.56";"A"
"2018-08";"103.78";"A"
"2018-07";"103.28";"A"
"2018-06";"103.37";"A"
"2018-05";"103.36";"A"
"2018-04";"102.92";"A"
"2018-03";"102.75";"A"
"2018-02";"101.72";"A"
"2018-01";"101.75";"A"
"2017-12";"101.85";"A"
"2017-11";"101.53";"A"
"2017-10";"101.43";"A"
"2017-09";"101.33";"A"
"2017-08";"101.49";"A"
"2017-07";"100.97";"A"
"2017-06";"101.32";"A"
"2017-05";"101.31";"A"
"2017-04";"101.26";"A"
"2017-03";"101.17";"A"
"2017-02";"100.53";"A"
"2017-01";"100.41";"A"
"2016-12";"100.65";"A"
"2016-11";"100.35";"A"
"2016-10";"100.37";"A"
"2016-09";"100.34";"A"
"2016-08";"100.58";"A"
"2016-07";"100.25";"A"
"2016-06";"100.63";"A"
"2016-05";"100.5";"A"
"2016-04";"100.09";"A"
"2016-03";"100.02";"A"
"2016-02";"99.33";"A"
"2016-01";"99.08";"A"
"2015-12";"100.04";"A"
"2015-11";"99.82";"A"
"2015-10";"100.01";"A"
"2015-09";"99.95";"A"
"2015-08";"100.35";"A"
"2015-07";"100.03";"A"
"2015-06";"100.44";"A"
"2015-05";"100.52";"A"
"2015-04";"100.28";"A"
"2015-03";"100.17";"A"
"2015-02";"99.52";"A"
"2015-01";"98.86";"A"
"2014-12";"99.86";"A"
"2014-11";"99.78";"A"
"2014-10";"99.95";"A"
"2014-09";"99.92";"A"
"2014-08";"100.3";"A"
"2014-07";"99.86";"A"
"2014-06";"100.18";"A"
"2014-05";"100.22";"A"
"2014-04";"100.2";"A"
"2014-03";"100.24";"A"
"2014-02";"99.79";"A"
"2014-01";"99.24";"A"
"2013-12";"99.8";"A"
"2013-11";"99.46";"A"
"2013-10";"99.5";"A"
"2013-09";"99.63";"A"
"2013-08";"99.86";"A"
"2013-07";"99.4";"A"
"2013-06";"99.7";"A"
"2013-05";"99.54";"A"
"2013-04";"99.48";"A"
"2013-03";"99.63";"A"
"2013-02";"98.88";"A"
"2013-01";"98.6";"A"
"2012-12";"99.1";"A"
"2012-11";"98.79";"A"
"2012-10";"98.94";"A"
"2012-09";"98.76";"A"
"2012-08";"99.0";"A"
"2012-07";"98.35";"A"
"2012-06";"98.78";"A"
"2012-05";"98.75";"A"
"2012-04";"98.8";"A"
"2012-03";"98.67";"A"
"2012-02";"97.86";"A"
"2012-01";"97.46";"A"
"2011-12";"97.8";"A"
"2011-11";"97.41";"A"
"2011-10";"97.14";"A"
"2011-09";"96.91";"A"
"2011-08";"96.98";"A"
"2011-07";"96.48";"A"
"2011-06";"96.91";"A"
"2011-05";"96.83";"A"
"2011-04";"96.78";"A"
"2011-03";"96.45";"A"
"2011-02";"95.67";"A"
"2011-01";"95.22";"A"
"2010-12";"95.45";"A"
"2010-11";"95.02";"A"
"2010-10";"94.91";"A"
"2010-09";"94.79";"A"
"2010-08";"94.86";"A"
"2010-07";"94.64";"A"
"2010-06";"94.91";"A"
"2010-05";"94.92";"A"
"2010-04";"94.81";"A"
"2010-03";"94.57";"A"
"2010-02";"94.11";"A"
"2010-01";"93.59";"A"
"2009-12";"93.8";"A"
"2009-11";"93.55";"A"
"2009-10";"93.42";"A"
