election_day,type,region,N,farleft,left,green,center,right,farright,other
2002-04-21,president,Auvergne-Rhône-Alpes,3321976,323854,472029,191041,253051,597258,620297,864446
2002-04-21,president,Bourgogne-Franche-Comté,1377707,142423,207869,63466,87840,254522,261422,360165
2002-04-21,president,Bretagne,1585745,189416,286515,102128,113920,342538,187323,363905
2002-04-21,president,Centre-Val de Loire,1221727,125029,184174,55098,82415,244240,210385,320386
2002-04-21,president,Corse,109462,6629,16836,3265,3660,30180,17166,31726
2002-04-21,president,Grand Est,2541252,263856,342419,131462,201141,482802,557020,562552
2002-04-21,president,Guadeloupe,91907,1325,21253,976,808,26557,2702,38286
2002-04-21,president,Guyane,23664,600,2506,455,401,4496,1180,14026
2002-04-21,president,Hauts-de-France,2836614,341400,457991,120631,168515,499050,551225,697802
2002-04-21,president,Ile-de-France,4004809,322072,680008,246605,298996,838289,583643,1035196
2002-04-21,president,La Réunion,233721,10478,91176,5001,5838,86830,8915,25483
2002-04-21,president,Martinique,89428,1476,26059,882,769,29424,1563,29255
2002-04-21,president,Normandie,1602607,194406,244600,75358,103982,330577,258194,395490
2002-04-21,president,Nouvelle-Aquitaine,2761182,298557,492891,143771,191250,574770,342313,717630
2002-04-21,president,Occitanie,2582366,252093,464596,134907,155156,425299,479197,671118
2002-04-21,president,Pays de la Loire,1673061,188451,270948,102449,137473,362643,203944,407153
2002-04-21,president,Provence-Alpes-Côte d'Azur,2134446,166683,277333,104647,130530,403768,498421,553064
2002-06-09,legislative,Auvergne-Rhône-Alpes,2982282,146835,649098,186148,117380,1033538,358396,490887
2002-06-09,legislative,Bourgogne-Franche-Comté,1230073,33195,301278,55858,33019,442899,158856,204968
2002-06-09,legislative,Bretagne,1453671,59226,440184,86348,59606,531882,80277,196148
2002-06-09,legislative,Centre-Val de Loire,1095709,50953,261574,62137,78904,382380,128797,130964
2002-06-09,legislative,Corse,117573,8388,3916,1591,0,27703,6045,69930
2002-06-09,legislative,Grand Est,2156947,66751,440431,133371,109829,792727,285077,328761
2002-06-09,legislative,Guadeloupe,89581,3054,8543,1355,1264,25401,0,49964
2002-06-09,legislative,Guyane,16948,0,0,0,248,6492,406,9802
2002-06-09,legislative,Hauts-de-France,2480058,193226,642948,87134,120325,685945,354378,396102
2002-06-09,legislative,Ile-de-France,3929495,248348,828218,306558,187784,1421280,393710,543597
2002-06-09,legislative,La Réunion,221770,48676,30497,5479,0,64563,2904,69651
2002-06-09,legislative,Martinique,83602,440,12222,703,0,27826,218,42193
2002-06-09,legislative,Normandie,1410722,80930,326000,60265,125918,390160,150606,276843
2002-06-09,legislative,Nouvelle-Aquitaine,2601687,125655,841897,102909,159406,821015,196789,354016
2002-06-09,legislative,Occitanie,2379271,134450,688140,113196,91298,685645,295424,371118
2002-06-09,legislative,Pays de la Loire,1512867,38208,360924,104678,74353,542658,94010,298036
2002-06-09,legislative,Provence-Alpes-Côte d'Azur,1896283,111673,301993,133960,68641,650402,360761,268853
2004-03-21,department,Auvergne-Rhône-Alpes,1449923,131668,359382,75692,100016,285306,185151,312708
