tour,code_departement,departement,circonscription,nuance,voix
1,01,AIN,1,Centre National des Indépendants,7872.0
1,01,AIN,1,Centre Réformateur Républicain,0.0
1,01,AIN,1,Divers,0.0
1,01,AIN,1,Divers extrême droite,0.0
1,01,AIN,1,Divers gaullistes,0.0
1,01,AIN,1,Modérés,0.0
1,01,AIN,1,Mouvement Républicain Populaire,8713.0
1,01,AIN,1,Parti communiste,4708.0
1,01,AIN,1,Poujadistes,0.0
1,01,AIN,1,Radicaux Union des Forces Démocratiques,0.0
1,01,AIN,1,Radicaux centristes,0.0
1,01,AIN,1,Radicaux socialistes,12530.0
1,01,AIN,1,Section Française de l'Internationale Ouvrière,3281.0
1,01,AIN,1,Union Démocratique et Socialiste de la Résistance-minoritaires,0.0
1,01,AIN,1,Union des Forces Démocratiques,0.0
1,01,AIN,1,Union pour la Nouvelle République,5053.0
1,01,AIN,1,abstentions,24588.0
1,01,AIN,1,blancs_nuls,844.0
1,01,AIN,2,Centre National des Indépendants,14030.0
1,01,AIN,2,Centre Réformateur Républicain,9311.0
1,01,AIN,2,Divers,0.0
1,01,AIN,2,Divers extrême droite,0.0
1,01,AIN,2,Divers gaullistes,0.0
1,01,AIN,2,Modérés,0.0
1,01,AIN,2,Mouvement Républicain Populaire,8803.0
1,01,AIN,2,Parti communiste,9835.0
1,01,AIN,2,Poujadistes,0.0
1,01,AIN,2,Radicaux Union des Forces Démocratiques,0.0
1,01,AIN,2,Radicaux centristes,0.0
1,01,AIN,2,Radicaux socialistes,0.0
1,01,AIN,2,Section Française de l'Internationale Ouvrière,4960.0
1,01,AIN,2,Union Démocratique et Socialiste de la Résistance-minoritaires,0.0
1,01,AIN,2,Union des Forces Démocratiques,0.0
1,01,AIN,2,Union pour la Nouvelle République,0.0
1,01,AIN,2,abstentions,20326.0
1,01,AIN,2,blancs_nuls,824.0
1,01,AIN,3,Centre National des Indépendants,8387.0
1,01,AIN,3,Centre Réformateur Républicain,0.0
1,01,AIN,3,Divers,0.0
1,01,AIN,3,Divers extrême droite,0.0
1,01,AIN,3,Divers gaullistes,0.0
1,01,AIN,3,Modérés,0.0
1,01,AIN,3,Mouvement Républicain Populaire,10689.0
1,01,AIN,3,Parti communiste,6427.0
1,01,AIN,3,Poujadistes,3002.0
1,01,AIN,3,Radicaux Union des Forces Démocratiques,0.0
1,01,AIN,3,Radicaux centristes,0.0
1,01,AIN,3,Radicaux socialistes,9704.0
1,01,AIN,3,Section Française de l'Internationale Ouvrière,0.0
1,01,AIN,3,Union Démocratique et Socialiste de la Résistance-minoritaires,0.0
1,01,AIN,3,Union des Forces Démocratiques,0.0
1,01,AIN,3,Union pour la Nouvelle République,3900.0
1,01,AIN,3,abstentions,19712.0
1,01,AIN,3,blancs_nuls,910.0
1,02,AISNE,1,Centre National des Indépendants,13210.0
1,02,AISNE,1,Centre Réformateur Républicain,0.0
1,02,AISNE,1,Divers,0.0
1,02,AISNE,1,Divers extrême droite,0.0
1,02,AISNE,1,Divers gaullistes,0.0
1,02,AISNE,1,Modérés,0.0
1,02,AISNE,1,Mouvement Républicain Populaire,0.0
1,02,AISNE,1,Parti communiste,7924.0
1,02,AISNE,1,Poujadistes,0.0
1,02,AISNE,1,Radicaux Union des Forces Démocratiques,0.0
1,02,AISNE,1,Radicaux centristes,0.0
1,02,AISNE,1,Radicaux socialistes,0.0
1,02,AISNE,1,Section Française de l'Internationale Ouvrière,8957.0
1,02,AISNE,1,Union Démocratique et Socialiste de la Résistance-minoritaires,0.0
1,02,AISNE,1,Union des Forces Démocratiques,1941.0
1,02,AISNE,1,Union pour la Nouvelle République,9993.0
1,02,AISNE,1,abstentions,9694.0
1,02,AISNE,1,blancs_nuls,1041.0
1,02,AISNE,2,Centre National des Indépendants,0.0
1,02,AISNE,2,Centre Réformateur Républicain,0.0
1,02,AISNE,2,Divers,4.0
1,02,AISNE,2,Divers extrême droite,0.0
1,02,AISNE,2,Divers gaullistes,3947.0
1,02,AISNE,2,Modérés,4987.0
1,02,AISNE,2,Mouvement Républicain Populaire,0.0
1,02,AISNE,2,Parti communiste,14225.0
1,02,AISNE,2,Poujadistes,0.0
1,02,AISNE,2,Radicaux Union des Forces Démocratiques,0.0
1,02,AISNE,2,Radicaux centristes,0.0
1,02,AISNE,2,Radicaux socialistes,2138.0
1,02,AISNE,2,Section Française de l'Internationale Ouvrière,13793.0
1,02,AISNE,2,Union Démocratique et Socialiste de la Résistance-minoritaires,0.0
1,02,AISNE,2,Union des Forces Démocratiques,1146.0
1,02,AISNE,2,Union pour la Nouvelle République,14821.0
1,02,AISNE,2,abstentions,11733.0
1,02,AISNE,2,blancs_nuls,1570.0
1,02,AISNE,3,Centre National des Indépendants,8845.0
1,02,AISNE,3,Centre Réformateur Républicain,0.0
1,02,AISNE,3,Divers,0.0
1,02,AISNE,3,Divers extrême droite,0.0
1,02,AISNE,3,Divers gaullistes,0.0
1,02,AISNE,3,Modérés,12955.0
1,02,AISNE,3,Mouvement Républicain Populaire,0.0
1,02,AISNE,3,Parti communiste,9729.0
1,02,AISNE,3,Poujadistes,0.0
1,02,AISNE,3,Radicaux Union des Forces Démocratiques,2081.0
1,02,AISNE,3,Radicaux centristes,0.0
1,02,AISNE,3,Radicaux socialistes,0.0
1,02,AISNE,3,Section Française de l'Internationale Ouvrière,7546.0
1,02,AISNE,3,Union Démocratique et Socialiste de la Résistance-minoritaires,0.0
1,02,AISNE,3,Union des Forces Démocratiques,0.0
1,02,AISNE,3,Union pour la Nouvelle République,0.0
1,02,AISNE,3,abstentions,8631.0
1,02,AISNE,3,blancs_nuls,1129.0
1,02,AISNE,4,Centre National des Indépendants,0.0
1,02,AISNE,4,Centre Réformateur Républicain,0.0
1,02,AISNE,4,Divers,0.0
1,02,AISNE,4,Divers extrême droite,0.0
1,02,AISNE,4,Divers gaullistes,2745.0
1,02,AISNE,4,Modérés,7968.0
1,02,AISNE,4,Mouvement Républicain Populaire,0.0
1,02,AISNE,4,Parti communiste,10291.0
1,02,AISNE,4,Poujadistes,0.0
1,02,AISNE,4,Radicaux Union des Forces Démocratiques,0.0
1,02,AISNE,4,Radicaux centristes,0.0
1,02,AISNE,4,Radicaux socialistes,0.0
1,02,AISNE,4,Section Française de l'Internationale Ouvrière,7078.0
1,02,AISNE,4,Union Démocratique et Socialiste de la Résistance-minoritaires,0.0
1,02,AISNE,4,Union des Forces Démocratiques,1380.0
1,02,AISNE,4,Union pour la Nouvelle République,11666.0
1,02,AISNE,4,abstentions,10292.0
1,02,AISNE,4,blancs_nuls,1163.0
1,02,AISNE,5,Centre National des Indépendants,0.0
1,02,AISNE,5,Centre Réformateur Républicain,0.0
1,02,AISNE,5,Divers,959.0
1,02,AISNE,5,Divers extrême droite,0.0
1,02,AISNE,5,Divers gaullistes,0.0
1,02,AISNE,5,Modérés,4438.0
1,02,AISNE,5,Mouvement Républicain Populaire,0.0
1,02,AISNE,5,Parti communiste,10985.0
1,02,AISNE,5,Poujadistes,0.0
1,02,AISNE,5,Radicaux Union des Forces Démocratiques,0.0
1,02,AISNE,5,Radicaux centristes,8737.0
1,02,AISNE,5,Radicaux socialistes,3229.0
1,02,AISNE,5,Section Française de l'Internationale Ouvrière,14977.0
1,02,AISNE,5,Union Démocratique et Socialiste de la Résistance-minoritaires,0.0
1,02,AISNE,5,Union des Forces Démocratiques,1250.0
1,02,AISNE,5,Union pour la Nouvelle République,6094.0
1,02,AISNE,5,abstentions,13078.0
1,02,AISNE,5,blancs_nuls,930.0
1,03,ALLIER,1,Centre National des Indépendants,0.0
1,03,ALLIER,1,Centre Réformateur Républicain,0.0
1,03,ALLIER,1,Divers,0.0
1,03,ALLIER,1,Divers extrême droite,0.0
1,03,ALLIER,1,Divers gaullistes,0.0
1,03,ALLIER,1,Modérés,9680.0
1,03,ALLIER,1,Mouvement Républicain Populaire,5934.0
1,03,ALLIER,1,Parti communiste,8832.0
1,03,ALLIER,1,Poujadistes,1901.0
1,03,ALLIER,1,Radicaux Union des Forces Démocratiques,0.0
1,03,ALLIER,1,Radicaux centristes,0.0
1,03,ALLIER,1,Radicaux socialistes,615.0
1,03,ALLIER,1,Section Française de l'Internationale Ouvrière,8896.0
1,03,ALLIER,1,Union Démocratique et Socialiste de la Résistance-minoritaires,0.0
1,03,ALLIER,1,Union des Forces Démocratiques,2651.0
1,03,ALLIER,1,Union pour la Nouvelle République,0.0
1,03,ALLIER,1,abstentions,17045.0
1,03,ALLIER,1,blancs_nuls,915.0
1,03,ALLIER,2,Centre National des Indépendants,2523.0
1,03,ALLIER,2,Centre Réformateur Républicain,0.0
1,03,ALLIER,2,Divers,0.0
1,03,ALLIER,2,Divers extrême droite,0.0
1,03,ALLIER,2,Divers gaullistes,0.0
1,03,ALLIER,2,Modérés,0.0
1,03,ALLIER,2,Mouvement Républicain Populaire,7023.0
1,03,ALLIER,2,Parti communiste,14671.0
1,03,ALLIER,2,Poujadistes,0.0
1,03,ALLIER,2,Radicaux Union des Forces Démocratiques,0.0
1,03,ALLIER,2,Radicaux centristes,0.0
1,03,ALLIER,2,Radicaux socialistes,6536.0
1,03,ALLIER,2,Section Française de l'Internationale Ouvrière,11965.0
1,03,ALLIER,2,Union Démocratique et Socialiste de la Résistance-minoritaires,0.0
1,03,ALLIER,2,Union des Forces Démocratiques,2127.0
1,03,ALLIER,2,Union pour la Nouvelle République,0.0
1,03,ALLIER,2,abstentions,15917.0
1,03,ALLIER,2,blancs_nuls,1216.0
1,03,ALLIER,3,Centre National des Indépendants,0.0
1,03,ALLIER,3,Centre Réformateur Républicain,0.0
1,03,ALLIER,3,Divers,0.0
1,03,ALLIER,3,Divers extrême droite,0.0
1,03,ALLIER,3,Divers gaullistes,0.0
1,03,ALLIER,3,Modérés,4242.0
1,03,ALLIER,3,Mouvement Républicain Populaire,0.0
1,03,ALLIER,3,Parti communiste,15163.0
1,03,ALLIER,3,Poujadistes,2503.0
1,03,ALLIER,3,Radicaux Union des Forces Démocratiques,0.0
1,03,ALLIER,3,Radicaux centristes,9097.0
1,03,ALLIER,3,Radicaux socialistes,0.0
1,03,ALLIER,3,Section Française de l'Internationale Ouvrière,11933.0
1,03,ALLIER,3,Union Démocratique et Socialiste de la Résistance-minoritaires,0.0
1,03,ALLIER,3,Union des Forces Démocratiques,0.0
1,03,ALLIER,3,Union pour la Nouvelle République,0.0
1,03,ALLIER,3,abstentions,17409.0
1,03,ALLIER,3,blancs_nuls,946.0
1,03,ALLIER,4,Centre National des Indépendants,15688.0
1,03,ALLIER,4,Centre Réformateur Républicain,0.0
1,03,ALLIER,4,Divers,0.0
