tour,code_departement,departement,code_circonscription,nom,prenom,code_nuance,voix
1,01,AIN,4,DESMARIS,CHRISTIAN,COM,1924.0
1,01,AIN,1,MORNET,LIONEL,COM,1977.0
1,01,AIN,3,VDOVITCHENKO,MARCELLE,COM,2692.0
1,01,AIN,2,ROUSTIT,FERNAND,COM,4022.0
1,01,AIN,1,PUJOL,REGIS,EXG,1199.0
1,01,AIN,1,AULAGNE,BERNARD,FRN,3109.0
1,01,AIN,3,JULLIEN,GHISLAINE,FRN,3270.0
1,01,AIN,2,LEROY,EMMANUEL,FRN,5472.0
1,01,AIN,4,HARTEMANN,PHILIPPE,FRN,5326.0
1,01,AIN,4,COQUARD,ALAIN,MAJ,774.0
1,01,AIN,1,SAINT PIERRE,DOMINIQUE,RDG,16950.0
1,01,AIN,2,GUICHON,LUCIEN,RPR,17581.0
1,01,AIN,1,BOYON,JACQUES,RPR,20321.0
1,01,AIN,2,LORA TONET,GERARD,SOC,14163.0
1,01,AIN,3,VINCENT,JULIETTE,SOC,13017.0
1,01,AIN,4,RAVASSARD,NOEL,SOC,20419.0
1,01,AIN,3,MILLON,CHARLES,UDF,22825.0
1,01,AIN,4,LOBIETTI,BERNARD,UDF,3028.0
1,01,AIN,4,VOISIN,MICHEL,UDF,15727.0
1,01,AIN,1,blancs_nuls,,,659.0
1,01,AIN,2,blancs_nuls,,,758.0
1,01,AIN,3,blancs_nuls,,,702.0
1,01,AIN,4,blancs_nuls,,,831.0
1,01,AIN,1,abstentions,,,27652.0
1,01,AIN,2,abstentions,,,25788.0
1,01,AIN,3,abstentions,,,24310.0
1,01,AIN,4,abstentions,,,30821.0
1,02,AISNE,1,MOREAU,GUY,COM,5491.0
1,02,AISNE,2,LE MEUR,DANIEL,COM,15570.0
1,02,AISNE,3,ROJO,YVAN,COM,7540.0
1,02,AISNE,4,RENARD,ROLAND,COM,10120.0
1,02,AISNE,5,ROUSSEAU,MARCEL,COM,5750.0
1,02,AISNE,2,CHOAIN,CHRISTIAN,DVD,4085.0
1,02,AISNE,2,CARON,DANIEL,FRN,4691.0
1,02,AISNE,4,BLEUZE,PIERRE,FRN,5023.0
1,02,AISNE,5,POTEL,HUBERT,FRN,4150.0
1,02,AISNE,3,GOARIN,RENE,FRN,4895.0
1,02,AISNE,1,RUSCICA,ROBERT,FRN,3487.0
1,02,AISNE,1,LAMANT,JEAN CLAUDE,RPR,18849.0
1,02,AISNE,4,DE BROSSES,JACQUES,RPR,11831.0
1,02,AISNE,1,DOSIERE,RENE,SOC,18963.0
1,02,AISNE,3,BALLIGAND,JEAN PIERRE,SOC,26186.0
1,02,AISNE,5,JOURDAIN,DOMINIQUE,SOC,16029.0
1,02,AISNE,2,GUIDONI,PIERRE,SOC,13658.0
1,02,AISNE,4,LEFRANC,BERNARD,SOC,21602.0
1,02,AISNE,3,BOURY,JACQUES,UDF,13949.0
1,02,AISNE,5,ROSSI,ANDRE,UDF,21282.0
1,02,AISNE,2,PAGNI,ANTOINE,UDF,11496.0
1,02,AISNE,1,blancs_nuls,,,997.0
1,02,AISNE,2,blancs_nuls,,,1129.0
1,02,AISNE,3,blancs_nuls,,,1524.0
1,02,AISNE,4,blancs_nuls,,,1091.0
1,02,AISNE,5,blancs_nuls,,,695.0
1,02,AISNE,1,abstentions,,,21780.0
1,02,AISNE,2,abstentions,,,23139.0
1,02,AISNE,3,abstentions,,,21577.0
1,02,AISNE,4,abstentions,,,26534.0
1,02,AISNE,5,abstentions,,,22307.0
1,03,ALLIER,4,BARDET,RENE,COM,6067.0
1,03,ALLIER,2,GOLDBERG,PIERRE,COM,17257.0
1,03,ALLIER,1,MAIRAL,JEAN CLAUDE,COM,6538.0
1,03,ALLIER,3,LAJOINTE,ANDRE,COM,20052.0
1,03,ALLIER,2,GRAVIER,JEAN,DVD,13853.0
1,03,ALLIER,3,CANDILLE,JEAN CLAUDE,FRN,3069.0
1,03,ALLIER,1,DE SALVERT,DANIELE,FRN,2019.0
1,03,ALLIER,2,MAC CLENIHAN,CHARLES,FRN,2254.0
1,03,ALLIER,4,LAMOUREUX,ANDRE,FRN,3001.0
1,03,ALLIER,3,GENEST,PHILIPPE,RPR,1059.0
1,03,ALLIER,1,MARTIN,JEAN PAUL,RPR,15802.0
1,03,ALLIER,1,COLCOMBET,FRANCOIS,SOC,14742.0
1,03,ALLIER,2,CHAUBARD,ALBERT,SOC,13005.0
1,03,ALLIER,4,BELORGEY,JEAN MICHEL,SOC,13247.0
1,03,ALLIER,3,PISANI,MARCEL,SOC,9691.0
1,03,ALLIER,3,COULON,BERNARD,UDF,15875.0
1,03,ALLIER,4,FRELASTRE,GEORGES,UDF,2612.0
1,03,ALLIER,4,LACARIN,JACQUES,UDF,8204.0
1,03,ALLIER,4,MALHURET,CLAUDE,UDF,8922.0
1,03,ALLIER,1,blancs_nuls,,,817.0
1,03,ALLIER,2,blancs_nuls,,,1122.0
1,03,ALLIER,3,blancs_nuls,,,1148.0
1,03,ALLIER,4,blancs_nuls,,,909.0
1,03,ALLIER,1,abstentions,,,18811.0
1,03,ALLIER,2,abstentions,,,22040.0
1,03,ALLIER,3,abstentions,,,21536.0
1,03,ALLIER,4,abstentions,,,22290.0
1,04,ALPES-DE-HAUTE-PROVENCE,2,ALLIAUD,GEORGES,COM,3839.0
1,04,ALPES-DE-HAUTE-PROVENCE,1,PHILIPPE,RAYMOND,COM,4442.0
1,04,ALPES-DE-HAUTE-PROVENCE,1,LACHAMP,JEAN JACQUES,EXG,1036.0
1,04,ALPES-DE-HAUTE-PROVENCE,2,BOURBOULON,ISABELLE,EXG,1185.0
1,04,ALPES-DE-HAUTE-PROVENCE,2,DE GUILHERMIER,BERNARD,FRN,4193.0
1,04,ALPES-DE-HAUTE-PROVENCE,1,PANSIERI,JULES HENRI,FRN,3557.0
1,04,ALPES-DE-HAUTE-PROVENCE,1,DUCOFFE,ROBERT,RPR,1870.0
1,04,ALPES-DE-HAUTE-PROVENCE,2,DELMAR,PIERRE,RPR,12068.0
1,04,ALPES-DE-HAUTE-PROVENCE,2,BELLON,ANDRE,SOC,11977.0
1,04,ALPES-DE-HAUTE-PROVENCE,1,MASSOT,FRANCOIS,SOC,11122.0
1,04,ALPES-DE-HAUTE-PROVENCE,1,GALIZI,FRANCIS,UDF,9194.0
1,04,ALPES-DE-HAUTE-PROVENCE,1,blancs_nuls,,,817.0
1,04,ALPES-DE-HAUTE-PROVENCE,2,blancs_nuls,,,783.0
1,04,ALPES-DE-HAUTE-PROVENCE,1,abstentions,,,15306.0
1,04,ALPES-DE-HAUTE-PROVENCE,2,abstentions,,,16113.0
1,05,HAUTES-ALPES,1,FERRERO,JEAN JACQUES,COM,2369.0
1,05,HAUTES-ALPES,2,FAURE BRAC,BERNARD,COM,2277.0
1,05,HAUTES-ALPES,1,MARCOUX,ALAIN,FRN,2143.0
1,05,HAUTES-ALPES,2,PRACHERSTORFER,DOMINIQUE,FRN,1474.0
1,05,HAUTES-ALPES,2,OLLIER,PATRICK,RPR,11090.0
1,05,HAUTES-ALPES,1,CHEVALLIER,DANIEL,SOC,13184.0
1,05,HAUTES-ALPES,2,DE CAUMONT,ROBERT,SOC,7755.0
1,05,HAUTES-ALPES,1,BERNARD REYMOND,PIERRE,UDF,13981.0
1,05,HAUTES-ALPES,1,blancs_nuls,,,656.0
1,05,HAUTES-ALPES,2,blancs_nuls,,,678.0
1,05,HAUTES-ALPES,1,abstentions,,,13111.0
1,05,HAUTES-ALPES,2,abstentions,,,13055.0
1,06,ALPES-MARITIMES,1,CARESSA,CHARLES,COM,5044.0
1,06,ALPES-MARITIMES,6,PAPI,MARIUS,COM,4688.0
1,06,ALPES-MARITIMES,7,PIEL,GERARD,COM,3449.0
1,06,ALPES-MARITIMES,8,PICOT,GHISLAINE,COM,2160.0
1,06,ALPES-MARITIMES,3,BROCH,LOUIS,COM,5155.0
1,06,ALPES-MARITIMES,2,PALLAND,MARLENE,COM,2517.0
1,06,ALPES-MARITIMES,4,BENNATI,ROGER,COM,5643.0
1,06,ALPES-MARITIMES,5,FIORI,LOUIS,COM,7387.0
1,06,ALPES-MARITIMES,9,VASSALLO,GEORGES,COM,6620.0
1,06,ALPES-MARITIMES,2,BERNARD,JEAN  LOUIS,DVD,324.0
1,06,ALPES-MARITIMES,8,BRUN,MICHEL,DVD,460.0
1,06,ALPES-MARITIMES,5,BOSCHER,DOMINIQUE,DVD,200.0
1,06,ALPES-MARITIMES,4,VESTRI,RENE,DVD,4947.0
1,06,ALPES-MARITIMES,5,GORLIER,MICHEL,DVD,329.0
1,06,ALPES-MARITIMES,9,GOBY,HENRI PHILIPPE,DVD,1383.0
1,06,ALPES-MARITIMES,5,BAEZA,MAX,FRN,7787.0
1,06,ALPES-MARITIMES,4,GAZUT,ROBERT,FRN,5872.0
1,06,ALPES-MARITIMES,6,PEYRON,ALBERT,FRN,10678.0
1,06,ALPES-MARITIMES,1,GOST,JEAN PIERRE,FRN,7289.0
1,06,ALPES-MARITIMES,2,FRANCHI,ADRIENNE,FRN,8643.0
1,06,ALPES-MARITIMES,3,PEYRAT,JACQUES,FRN,10376.0
1,06,ALPES-MARITIMES,7,SCANNAPIECO,CLAUDE,FRN,10904.0
