tour,code_departement,departement,circonscription,nuance,voix
1,01,AIN,1,Alliance républicaine,0.0
1,01,AIN,1,Centre Progrès et démocratie moderne,16413.0
1,01,AIN,1,Divers,0.0
1,01,AIN,1,Divers extrême droite,0.0
1,01,AIN,1,Divers gaullistes,0.0
1,01,AIN,1,Extrême gauche,0.0
1,01,AIN,1,Fédération de la Gauche Démocrate et Socialiste,9748.0
1,01,AIN,1,Modérés,333.0
1,01,AIN,1,Mouvement pour la réforme,0.0
1,01,AIN,1,Parti Socialiste Unifié,1489.0
1,01,AIN,1,Parti communiste,5463.0
1,01,AIN,1,Parti communiste - apparentés,0.0
1,01,AIN,1,Radicaux de droite,0.0
1,01,AIN,1,Radicaux socialistes,0.0
1,01,AIN,1,Régionalistes,0.0
1,01,AIN,1,Républicains Indépendants,0.0
1,01,AIN,1,Républicains Indépendants - Union  de Défense de la République,0.0
1,01,AIN,1,Technique et démocratie,0.0
1,01,AIN,1,Union de Défense de la République,16042.0
1,01,AIN,1,abstentions,19426.0
1,01,AIN,1,blancs_nuls,514.0
1,01,AIN,2,Alliance républicaine,0.0
1,01,AIN,2,Centre Progrès et démocratie moderne,4526.0
1,01,AIN,2,Divers,0.0
1,01,AIN,2,Divers extrême droite,0.0
1,01,AIN,2,Divers gaullistes,0.0
1,01,AIN,2,Extrême gauche,0.0
1,01,AIN,2,Fédération de la Gauche Démocrate et Socialiste,5688.0
1,01,AIN,2,Modérés,907.0
1,01,AIN,2,Mouvement pour la réforme,0.0
1,01,AIN,2,Parti Socialiste Unifié,1895.0
1,01,AIN,2,Parti communiste,10389.0
1,01,AIN,2,Parti communiste - apparentés,0.0
1,01,AIN,2,Radicaux de droite,0.0
1,01,AIN,2,Radicaux socialistes,0.0
1,01,AIN,2,Régionalistes,0.0
1,01,AIN,2,Républicains Indépendants,0.0
1,01,AIN,2,Républicains Indépendants - Union  de Défense de la République,30717.0
1,01,AIN,2,Technique et démocratie,0.0
