tour,code_departement,departement,circonscription,code_nuance,voix
1,01,AIN,1,COM,2619.0
1,01,AIN,1,DVD,0.0
1,01,AIN,1,DVG,0.0
1,01,AIN,1,ECO,0.0
1,01,AIN,1,EXG,706.0
1,01,AIN,1,FRN,3831.0
1,01,AIN,1,RADICAUX GAUCHE,0.0
1,01,AIN,1,REG,0.0
1,01,AIN,1,RPR,14869.0
1,01,AIN,1,SOC,17385.0
1,01,AIN,1,UDF,12007.0
1,01,AIN,1,UDF-RPR,0.0
1,01,AIN,1,abstentions,17026.0
1,01,AIN,1,blancs et nuls,2259.0
1,01,AIN,2,COM,3388.0
1,01,AIN,2,DVD,0.0
1,01,AIN,2,DVG,0.0
1,01,AIN,2,ECO,0.0
1,01,AIN,2,EXG,583.0
1,01,AIN,2,FRN,5990.0
1,01,AIN,2,RADICAUX GAUCHE,0.0
1,01,AIN,2,REG,0.0
1,01,AIN,2,RPR,8656.0
1,01,AIN,2,SOC,14481.0
1,01,AIN,2,UDF,14431.0
1,01,AIN,2,UDF-RPR,0.0
1,01,AIN,2,abstentions,15526.0
1,01,AIN,2,blancs et nuls,2070.0
1,01,AIN,3,COM,2781.0
1,01,AIN,3,DVD,0.0
1,01,AIN,3,DVG,0.0
1,01,AIN,3,ECO,0.0
1,01,AIN,3,EXG,458.0
1,01,AIN,3,FRN,4272.0
1,01,AIN,3,RADICAUX GAUCHE,0.0
1,01,AIN,3,REG,0.0
1,01,AIN,3,RPR,5710.0
1,01,AIN,3,SOC,14907.0
1,01,AIN,3,UDF,19774.0
1,01,AIN,3,UDF-RPR,0.0
1,01,AIN,3,abstentions,14899.0
1,01,AIN,3,blancs et nuls,2109.0
1,01,AIN,4,COM,2470.0
1,01,AIN,4,DVD,0.0
1,01,AIN,4,DVG,0.0
1,01,AIN,4,ECO,0.0
1,01,AIN,4,EXG,737.0
1,01,AIN,4,FRN,6381.0
1,01,AIN,4,RADICAUX GAUCHE,0.0
1,01,AIN,4,REG,0.0
1,01,AIN,4,RPR,13835.0
1,01,AIN,4,SOC,18135.0
1,01,AIN,4,UDF,13603.0
1,01,AIN,4,UDF-RPR,0.0
1,01,AIN,4,abstentions,18599.0
1,01,AIN,4,blancs et nuls,2885.0
1,02,AISNE,1,COM,6623.0
1,02,AISNE,1,DVD,0.0
1,02,AISNE,1,DVG,0.0
1,02,AISNE,1,ECO,0.0
1,02,AISNE,1,EXG,982.0
1,02,AISNE,1,FRN,4325.0
1,02,AISNE,1,RADICAUX GAUCHE,0.0
1,02,AISNE,1,REG,0.0
1,02,AISNE,1,RPR,0.0
1,02,AISNE,1,SOC,18884.0
1,02,AISNE,1,UDF,0.0
1,02,AISNE,1,UDF-RPR,21745.0
1,02,AISNE,1,abstentions,13878.0
1,02,AISNE,1,blancs et nuls,2901.0
1,02,AISNE,2,COM,12569.0
1,02,AISNE,2,DVD,0.0
1,02,AISNE,2,DVG,0.0
1,02,AISNE,2,ECO,0.0
1,02,AISNE,2,EXG,1023.0
1,02,AISNE,2,FRN,6062.0
1,02,AISNE,2,RADICAUX GAUCHE,0.0
1,02,AISNE,2,REG,0.0
1,02,AISNE,2,RPR,0.0
1,02,AISNE,2,SOC,16492.0
1,02,AISNE,2,UDF,0.0
1,02,AISNE,2,UDF-RPR,20726.0
1,02,AISNE,2,abstentions,13810.0
1,02,AISNE,2,blancs et nuls,3182.0
1,02,AISNE,3,COM,9139.0
1,02,AISNE,3,DVD,0.0
1,02,AISNE,3,DVG,0.0
1,02,AISNE,3,ECO,0.0
1,02,AISNE,3,EXG,989.0
1,02,AISNE,3,FRN,5097.0
1,02,AISNE,3,RADICAUX GAUCHE,0.0
1,02,AISNE,3,REG,0.0
1,02,AISNE,3,RPR,0.0
1,02,AISNE,3,SOC,21539.0
1,02,AISNE,3,UDF,0.0
1,02,AISNE,3,UDF-RPR,21781.0
1,02,AISNE,3,abstentions,13347.0
1,02,AISNE,3,blancs et nuls,4181.0
1,02,AISNE,4,COM,8933.0
1,02,AISNE,4,DVD,0.0
1,02,AISNE,4,DVG,0.0
1,02,AISNE,4,ECO,0.0
1,02,AISNE,4,EXG,807.0
1,02,AISNE,4,FRN,4947.0
1,02,AISNE,4,RADICAUX GAUCHE,0.0
1,02,AISNE,4,REG,0.0
1,02,AISNE,4,RPR,0.0
1,02,AISNE,4,SOC,21135.0
1,02,AISNE,4,UDF,0.0
1,02,AISNE,4,UDF-RPR,20831.0
1,02,AISNE,4,abstentions,16736.0
1,02,AISNE,4,blancs et nuls,2859.0
1,02,AISNE,5,COM,6044.0
1,02,AISNE,5,DVD,0.0
1,02,AISNE,5,DVG,0.0
1,02,AISNE,5,ECO,0.0
1,02,AISNE,5,EXG,656.0
1,02,AISNE,5,FRN,4973.0
1,02,AISNE,5,RADICAUX GAUCHE,0.0
1,02,AISNE,5,REG,0.0
1,02,AISNE,5,RPR,0.0
1,02,AISNE,5,SOC,17186.0
1,02,AISNE,5,UDF,0.0
1,02,AISNE,5,UDF-RPR,23163.0
1,02,AISNE,5,abstentions,14777.0
1,02,AISNE,5,blancs et nuls,2415.0
1,03,ALLIER,1,COM,7077.0
1,03,ALLIER,1,DVD,0.0
1,03,ALLIER,1,DVG,0.0
1,03,ALLIER,1,ECO,0.0
1,03,ALLIER,1,EXG,476.0
1,03,ALLIER,1,FRN,2474.0
1,03,ALLIER,1,RADICAUX GAUCHE,1797.0
1,03,ALLIER,1,REG,0.0
1,03,ALLIER,1,RPR,0.0
1,03,ALLIER,1,SOC,12449.0
1,03,ALLIER,1,UDF,0.0
1,03,ALLIER,1,UDF-RPR,18851.0
1,03,ALLIER,1,abstentions,13064.0
1,03,ALLIER,1,blancs et nuls,2471.0
1,03,ALLIER,2,COM,14446.0
1,03,ALLIER,2,DVD,0.0
1,03,ALLIER,2,DVG,0.0
1,03,ALLIER,2,ECO,0.0
1,03,ALLIER,2,EXG,560.0
1,03,ALLIER,2,FRN,2998.0
1,03,ALLIER,2,RADICAUX GAUCHE,1701.0
1,03,ALLIER,2,REG,0.0
1,03,ALLIER,2,RPR,0.0
1,03,ALLIER,2,SOC,14372.0
1,03,ALLIER,2,UDF,0.0
1,03,ALLIER,2,UDF-RPR,18217.0
1,03,ALLIER,2,abstentions,14815.0
1,03,ALLIER,2,blancs et nuls,3284.0
1,03,ALLIER,3,COM,16496.0
1,03,ALLIER,3,DVD,0.0
1,03,ALLIER,3,DVG,0.0
1,03,ALLIER,3,ECO,0.0
1,03,ALLIER,3,EXG,452.0
1,03,ALLIER,3,FRN,3105.0
1,03,ALLIER,3,RADICAUX GAUCHE,1872.0
1,03,ALLIER,3,REG,0.0
1,03,ALLIER,3,RPR,0.0
1,03,ALLIER,3,SOC,12355.0
1,03,ALLIER,3,UDF,0.0
1,03,ALLIER,3,UDF-RPR,21315.0
1,03,ALLIER,3,abstentions,14040.0
1,03,ALLIER,3,blancs et nuls,3299.0
1,03,ALLIER,4,COM,6293.0
1,03,ALLIER,4,DVD,0.0
1,03,ALLIER,4,DVG,0.0
1,03,ALLIER,4,ECO,0.0
1,03,ALLIER,4,EXG,378.0
1,03,ALLIER,4,FRN,4547.0
1,03,ALLIER,4,RADICAUX GAUCHE,3036.0
1,03,ALLIER,4,REG,0.0
1,03,ALLIER,4,RPR,0.0
1,03,ALLIER,4,SOC,13709.0
1,03,ALLIER,4,UDF,0.0
1,03,ALLIER,4,UDF-RPR,20441.0
1,03,ALLIER,4,abstentions,14480.0
1,03,ALLIER,4,blancs et nuls,2509.0
1,04,ALPES-DE-HAUTE-PROVENCE,1,COM,5683.0
1,04,ALPES-DE-HAUTE-PROVENCE,1,DVD,812.0
1,04,ALPES-DE-HAUTE-PROVENCE,1,DVG,0.0
1,04,ALPES-DE-HAUTE-PROVENCE,1,ECO,0.0
1,04,ALPES-DE-HAUTE-PROVENCE,1,EXG,303.0
1,04,ALPES-DE-HAUTE-PROVENCE,1,FRN,3851.0
1,04,ALPES-DE-HAUTE-PROVENCE,1,RADICAUX GAUCHE,0.0
1,04,ALPES-DE-HAUTE-PROVENCE,1,REG,0.0
1,04,ALPES-DE-HAUTE-PROVENCE,1,RPR,8576.0
1,04,ALPES-DE-HAUTE-PROVENCE,1,SOC,11368.0
1,04,ALPES-DE-HAUTE-PROVENCE,1,UDF,6258.0
1,04,ALPES-DE-HAUTE-PROVENCE,1,UDF-RPR,0.0
1,04,ALPES-DE-HAUTE-PROVENCE,1,abstentions,7942.0
1,04,ALPES-DE-HAUTE-PROVENCE,1,blancs et nuls,1692.0
1,04,ALPES-DE-HAUTE-PROVENCE,2,COM,5175.0
1,04,ALPES-DE-HAUTE-PROVENCE,2,DVD,651.0
1,04,ALPES-DE-HAUTE-PROVENCE,2,DVG,0.0
1,04,ALPES-DE-HAUTE-PROVENCE,2,ECO,0.0
1,04,ALPES-DE-HAUTE-PROVENCE,2,EXG,164.0
1,04,ALPES-DE-HAUTE-PROVENCE,2,FRN,4097.0
1,04,ALPES-DE-HAUTE-PROVENCE,2,RADICAUX GAUCHE,0.0
1,04,ALPES-DE-HAUTE-PROVENCE,2,REG,0.0
1,04,ALPES-DE-HAUTE-PROVENCE,2,RPR,9162.0
1,04,ALPES-DE-HAUTE-PROVENCE,2,SOC,11629.0
1,04,ALPES-DE-HAUTE-PROVENCE,2,UDF,7716.0
1,04,ALPES-DE-HAUTE-PROVENCE,2,UDF-RPR,0.0
