tour,code_departement,departement,code_circonscription,nom,prenom,code_nuance,voix
1,01,AIN,1,AVINIERE,Pierre,COM,789.0
1,01,AIN,1,HURET,Odile,DIV,448.0
1,01,AIN,1,FAVRE,Bernard,ECO,530.0
1,01,AIN,1,GUENARD-GERBAUD,Carole,EXG,1162.0
1,01,AIN,1,LAHY,Eric,EXG,300.0
1,01,AIN,1,CATHERIN,Marie-Lucienne,FN,2086.0
1,01,AIN,1,FLECHON,Jacques,MPF,1078.0
1,01,AIN,1,DEBAT,Jean-François,SOC,16415.0
1,01,AIN,1,PARIOT,Marc,UDFD,2860.0
1,01,AIN,1,BRETON,Xavier,UMP,24250.0
1,01,AIN,1,DUTHU,Monique,VEC,1411.0
1,01,AIN,1,abstentions,,,34540.0
1,01,AIN,1,blancs_nuls,,,744.0
1,01,AIN,2,PHILIPPE,Katia,COM,1800.0
1,01,AIN,2,FRAY,Michel,CPNT,485.0
1,01,AIN,2,MEUNIER,Marie-Lise,ECO,629.0
1,01,AIN,2,SEGURET,Jean-Louis,EXD,380.0
1,01,AIN,2,CHAVET,Raoul,EXG,306.0
1,01,AIN,2,LARGERON,Guy,EXG,380.0
1,01,AIN,2,DAGAND,Yves,EXG,1375.0
1,01,AIN,2,DE LACHEISSERIE,Nicole,FN,3333.0
1,01,AIN,2,LEGER,Bernard,MPF,778.0
1,01,AIN,2,PIDOUX,Catherine,RDG,9217.0
1,01,AIN,2,FERRARESE,Pierre,UDFD,3217.0
1,01,AIN,2,DE LA VERPILLIERE,Charles,UMP,27034.0
1,01,AIN,2,CAGNAC,Jacques,VEC,1790.0
1,01,AIN,2,abstentions,,,41005.0
1,01,AIN,2,blancs_nuls,,,737.0
1,01,AIN,3,VIRARD,Philippe,COM,2366.0
1,01,AIN,3,ALBERT,Emilie,CPNT,481.0
1,01,AIN,3,MARMORAT,Jacques,DIV,2.0
1,01,AIN,3,FAVRE,Maryse,ECO,792.0
1,01,AIN,3,GOUTAILLER,Dolorès,EXG,308.0
1,01,AIN,3,BAILLY,Luc,EXG,1138.0
1,01,AIN,3,WYSSA,Olivier,FN,2229.0
1,01,AIN,3,JUSTON,Maurice,MPF,555.0
1,01,AIN,3,RIGAUD,Françoise,SOC,9018.0
1,01,AIN,3,FAURE,Fabienne,UDFD,5198.0
1,01,AIN,3,BLANC,Etienne,UMP,23722.0
1,01,AIN,3,FRANQUET,Christine,VEC,1640.0
1,01,AIN,3,abstentions,,,38444.0
1,01,AIN,3,blancs_nuls,,,803.0
1,01,AIN,4,BURGAT,Jacqueline,COM,1270.0
1,01,AIN,4,MANDRAS,Marie-Françoise,CPNT,716.0
1,01,AIN,4,MICHAUD,Christel,ECO,737.0
1,01,AIN,4,DRACOS,Electre,EXG,608.0
1,01,AIN,4,VACLE,Catherine,EXG,2133.0
1,01,AIN,4,DE LACHEISSERIE,Jean-Loup,FN,3541.0
1,01,AIN,4,LE MAOUT,Hervé,MPF,1081.0
1,01,AIN,4,GREFFET,Christophe,SOC,12395.0
1,01,AIN,4,CORMORECHE,Pierre,UDFD,4895.0
1,01,AIN,4,VOISIN,Michel,UMP,33777.0
1,01,AIN,4,MONTESSUIT,Claude,VEC,2409.0
1,01,AIN,4,abstentions,,,45215.0
1,01,AIN,4,blancs_nuls,,,957.0
1,02,AISNE,1,BRUNET,Claudine,COM,918.0
1,02,AISNE,1,BIBAUT,Louisette,CPNT,264.0
1,02,AISNE,1,MATIS,Pascal,DIV,83.0
1,02,AISNE,1,HANSEN-CATTA,Paul Henry,DIV,1130.0
1,02,AISNE,1,TREVILLOT,Nicolas,DVD,1185.0
1,02,AISNE,1,DOSIERE,René,DVG,10916.0
1,02,AISNE,1,PERNELLE,Jean-Loup,EXG,600.0
