code_departement,departement,code_commune,commune,nuuance,voix
01,AIN,004,AMBERIEU-EN-BUGEY,Extrême gauche,0.0
01,AIN,033,BELLEGARDE-SUR-VALSERINE,Extrême gauche,0.0
01,AIN,053,BOURG-EN-BRESSE,Extrême gauche,437.0
01,AIN,283,OYONNAX,Extrême gauche,0.0
02,AISNE,168,CHATEAU-THIERRY,Extrême gauche,0.0
02,AISNE,173,CHAUNY,Extrême gauche,0.0
02,AISNE,381,HIRSON,Extrême gauche,0.0
02,AISNE,408,LAON,Extrême gauche,0.0
02,AISNE,691,SAINT-QUENTIN,Extrême gauche,0.0
02,AISNE,722,SOISSONS,Extrême gauche,0.0
02,AISNE,738,TERGNIER,Extrême gauche,0.0
03,ALLIER,082,COMMENTRY,Extrême gauche,0.0
03,ALLIER,095,CUSSET,Extrême gauche,0.0
03,ALLIER,185,MONTLUCON,Extrême gauche,0.0
03,ALLIER,190,MOULINS,Extrême gauche,0.0
03,ALLIER,310,VICHY,Extrême gauche,0.0
03,ALLIER,321,YZEURE,Extrême gauche,0.0
04,ALPES-DE-HAUTE-PROVENCE,070,DIGNE-LES-BAINS,Extrême gauche,284.0
04,ALPES-DE-HAUTE-PROVENCE,112,MANOSQUE,Extrême gauche,231.0
05,HAUTES-ALPES,023,BRIANCON,Extrême gauche,0.0
05,HAUTES-ALPES,061,GAP,Extrême gauche,0.0
06,ALPES-MARITIMES,004,ANTIBES,Extrême gauche,0.0
06,ALPES-MARITIMES,012,BEAUSOLEIL,Extrême gauche,0.0
06,ALPES-MARITIMES,027,CAGNES-SUR-MER,Extrême gauche,0.0
06,ALPES-MARITIMES,029,CANNES,Extrême gauche,0.0
06,ALPES-MARITIMES,030,LE CANNET,Extrême gauche,0.0
06,ALPES-MARITIMES,069,GRASSE,Extrême gauche,0.0
06,ALPES-MARITIMES,079,MANDELIEU-LA-NAPOULE,Extrême gauche,0.0
06,ALPES-MARITIMES,083,MENTON,Extrême gauche,0.0
06,ALPES-MARITIMES,085,MOUGINS,Extrême gauche,0.0
06,ALPES-MARITIMES,088,NICE,Extrême gauche,0.0
06,ALPES-MARITIMES,104,ROQUEBRUNE-CAP-MARTIN,Extrême gauche,0.0
06,ALPES-MARITIMES,123,SAINT-LAURENT-DU-VAR,Extrême gauche,0.0
06,ALPES-MARITIMES,155,VALLAURIS,Extrême gauche,0.0
06,ALPES-MARITIMES,157,VENCE,Extrême gauche,0.0
07,ARDECHE,010,ANNONAY,Extrême gauche,0.0
07,ARDECHE,019,AUBENAS,Extrême gauche,0.0
07,ARDECHE,102,GUILHERAND-GRANGES,Extrême gauche,0.0
07,ARDECHE,186,PRIVAS,Extrême gauche,0.0
07,ARDECHE,324,TOURNON-SUR-RHONE,Extrême gauche,0.0
08,ARDENNES,105,CHARLEVILLE-MEZIERES,Extrême gauche,0.0
08,ARDENNES,363,REVIN,Extrême gauche,0.0
08,ARDENNES,409,SEDAN,Extrême gauche,0.0
09,ARIEGE,122,FOIX,Extrême gauche,0.0
09,ARIEGE,225,PAMIERS,Extrême gauche,0.0
10,AUBE,081,LA CHAPELLE-SAINT-LUC,Extrême gauche,0.0
10,AUBE,323,ROMILLY-SUR-SEINE,Extrême gauche,0.0
10,AUBE,333,SAINT-ANDRE-LES-VERGERS,Extrême gauche,0.0
10,AUBE,362,SAINTE-SAVINE,Extrême gauche,0.0
10,AUBE,387,TROYES,Extrême gauche,0.0
11,AUDE,069,CARCASSONNE,Extrême gauche,0.0
11,AUDE,076,CASTELNAUDARY,Extrême gauche,0.0
11,AUDE,206,LIMOUX,Extrême gauche,0.0
11,AUDE,262,NARBONNE,Extrême gauche,0.0
12,AVEYRON,145,MILLAU,Extrême gauche,0.0
12,AVEYRON,176,ONET-LE-CHATEAU,Extrême gauche,0.0
12,AVEYRON,202,RODEZ,Extrême gauche,0.0
12,AVEYRON,300,VILLEFRANCHE-DE-ROUERGUE,Extrême gauche,0.0
13,BOUCHES-DU-RHONE,001,AIX-EN-PROVENCE,Extrême gauche,845.0
13,BOUCHES-DU-RHONE,002,ALLAUCH,Extrême gauche,0.0
13,BOUCHES-DU-RHONE,004,ARLES,Extrême gauche,0.0
13,BOUCHES-DU-RHONE,005,AUBAGNE,Extrême gauche,0.0
13,BOUCHES-DU-RHONE,014,BERRE-L'ETANG,Extrême gauche,0.0
13,BOUCHES-DU-RHONE,026,CHATEAUNEUF-LES-MARTIGUES,Extrême gauche,0.0
13,BOUCHES-DU-RHONE,027,CHATEAURENARD,Extrême gauche,100.0
13,BOUCHES-DU-RHONE,028,LA CIOTAT,Extrême gauche,0.0
13,BOUCHES-DU-RHONE,039,FOS-SUR-MER,Extrême gauche,117.0
13,BOUCHES-DU-RHONE,041,GARDANNE,Extrême gauche,0.0
13,BOUCHES-DU-RHONE,047,ISTRES,Extrême gauche,224.0
13,BOUCHES-DU-RHONE,054,MARIGNANE,Extrême gauche,7.0
13,BOUCHES-DU-RHONE,055,MARSEILLE,Extrême gauche,1916.0
13,BOUCHES-DU-RHONE,056,MARTIGUES,Extrême gauche,260.0
13,BOUCHES-DU-RHONE,063,MIRAMAS,Extrême gauche,0.0
13,BOUCHES-DU-RHONE,071,LES PENNES-MIRABEAU,Extrême gauche,0.0
13,BOUCHES-DU-RHONE,077,PORT-DE-BOUC,Extrême gauche,95.0
13,BOUCHES-DU-RHONE,078,PORT-SAINT-LOUIS-DU-RHONE,Extrême gauche,0.0
13,BOUCHES-DU-RHONE,081,ROGNAC,Extrême gauche,0.0
13,BOUCHES-DU-RHONE,097,SAINT-MARTIN-DE-CRAU,Extrême gauche,0.0
13,BOUCHES-DU-RHONE,103,SALON-DE-PROVENCE,Extrême gauche,0.0
13,BOUCHES-DU-RHONE,106,SEPTEMES-LES-VALLONS,Extrême gauche,0.0
13,BOUCHES-DU-RHONE,108,TARASCON,Extrême gauche,0.0
13,BOUCHES-DU-RHONE,117,VITROLLES,Extrême gauche,7.0
14,CALVADOS,047,BAYEUX,Extrême gauche,131.0
14,CALVADOS,118,CAEN,Extrême gauche,221.0
14,CALVADOS,327,HEROUVILLE-SAINT-CLAIR,Extrême gauche,138.0
14,CALVADOS,366,LISIEUX,Extrême gauche,238.0
14,CALVADOS,437,MONDEVILLE,Extrême gauche,51.0
14,CALVADOS,762,VIRE,Extrême gauche,0.0
15,CANTAL,014,AURILLAC,Extrême gauche,0.0
16,CHARENTE,015,ANGOULEME,Extrême gauche,0.0
16,CHARENTE,102,COGNAC,Extrême gauche,0.0
16,CHARENTE,374,SOYAUX,Extrême gauche,0.0
17,CHARENTE-MARITIME,299,ROCHEFORT,Extrême gauche,0.0
17,CHARENTE-MARITIME,300,LA ROCHELLE,Extrême gauche,0.0
17,CHARENTE-MARITIME,306,ROYAN,Extrême gauche,0.0
17,CHARENTE-MARITIME,415,SAINTES,Extrême gauche,0.0
18,CHER,033,BOURGES,Extrême gauche,0.0
18,CHER,197,SAINT-AMAND-MONTROND,Extrême gauche,0.0
18,CHER,279,VIERZON,Extrême gauche,0.0
19,CORREZE,031,BRIVE-LA-GAILLARDE,Extrême gauche,0.0
19,CORREZE,272,TULLE,Extrême gauche,0.0
19,CORREZE,275,USSEL,Extrême gauche,0.0
2A,CORSE-DU-SUD,004,AJACCIO,Extrême gauche,0.0
2B,HAUTE-CORSE,033,BASTIA,Extrême gauche,0.0
21,COTE-D'OR,054,BEAUNE,Extrême gauche,0.0
21,COTE-D'OR,166,CHENOVE,Extrême gauche,94.0
21,COTE-D'OR,231,DIJON,Extrême gauche,130.0
21,COTE-D'OR,617,TALANT,Extrême gauche,0.0
22,COTES-D'ARMOR,050,DINAN,Extrême gauche,0.0
22,COTES-D'ARMOR,093,LAMBALLE,Extrême gauche,0.0
22,COTES-D'ARMOR,113,LANNION,Extrême gauche,0.0
22,COTES-D'ARMOR,136,LOUDEAC,Extrême gauche,0.0
22,COTES-D'ARMOR,187,PLERIN,Extrême gauche,0.0
22,COTES-D'ARMOR,215,PLOUFRAGAN,Extrême gauche,0.0
22,COTES-D'ARMOR,278,SAINT-BRIEUC,Extrême gauche,0.0
23,CREUSE,096,GUERET,Extrême gauche,153.0
24,DORDOGNE,037,BERGERAC,Extrême gauche,0.0
24,DORDOGNE,322,PERIGUEUX,Extrême gauche,0.0
24,DORDOGNE,520,SARLAT-LA-CANEDA,Extrême gauche,0.0
25,DOUBS,031,AUDINCOURT,Extrême gauche,33.0
25,DOUBS,056,BESANCON,Extrême gauche,2158.0
25,DOUBS,057,BETHONCOURT,Extrême gauche,0.0
25,DOUBS,388,MONTBELIARD,Extrême gauche,0.0
25,DOUBS,462,PONTARLIER,Extrême gauche,0.0
25,DOUBS,580,VALENTIGNEY,Extrême gauche,24.0
26,DROME,058,BOURG-LES-VALENCE,Extrême gauche,0.0
26,DROME,198,MONTELIMAR,Extrême gauche,0.0
26,DROME,235,PIERRELATTE,Extrême gauche,0.0
26,DROME,281,ROMANS-SUR-ISERE,Extrême gauche,0.0
26,DROME,362,VALENCE,Extrême gauche,0.0
27,EURE,056,BERNAY,Extrême gauche,0.0
