tour,code_departement,departement,code_nuance,nuance,voix
1,01,AIN,COM,COMMUNISTE,11008.0
1,01,AIN,DIV,DIVERS,4759.0
1,01,AIN,EXG,EXTREME GAUCHE,1294.0
1,01,AIN,FRN,FRONT NATIONAL,28212.0
1,01,AIN,GEC,GENERATION ECOLOGIE,8680.0
1,01,AIN,MAJ,MAJORITE PRESIDENTIELLE,11300.0
1,01,AIN,RPR,RASSEMBLEMENT POUR LA REPUBLIQUE,43260.0
1,01,AIN,SOC,SOCIALISTE,22493.0
1,01,AIN,UDF,UNION POUR LA DEMOCRATIE FRANCAISE,48702.0
1,01,AIN,VEC,VERTS ECOLOGIE,10516.0
1,01,AIN,abstentions,abstentions,102302.0
1,01,AIN,blancs_nuls,blancs_nuls,10666.0
1,02,AISNE,COM,COMMUNISTE,28126.0
1,02,AISNE,DIV,DIVERS,9518.0
1,02,AISNE,DVD,DIVERS DROITE,7469.0
1,02,AISNE,EXG,EXTREME GAUCHE,7577.0
1,02,AISNE,FRN,FRONT NATIONAL,31216.0
1,02,AISNE,GEC,GENERATION ECOLOGIE,5316.0
1,02,AISNE,RDG,RADICAL DE GAUCHE,1585.0
1,02,AISNE,RPR,RASSEMBLEMENT POUR LA REPUBLIQUE,39526.0
1,02,AISNE,SOC,SOCIALISTE,55275.0
1,02,AISNE,UDF,UNION POUR LA DEMOCRATIE FRANCAISE,54273.0
1,02,AISNE,VEC,VERTS ECOLOGIE,8124.0
1,02,AISNE,abstentions,abstentions,109414.0
1,02,AISNE,blancs_nuls,blancs_nuls,13344.0
1,03,ALLIER,COM,COMMUNISTE,42849.0
1,03,ALLIER,DIV,DIVERS,6174.0
1,03,ALLIER,DVD,DIVERS DROITE,3277.0
1,03,ALLIER,EXG,EXTREME GAUCHE,871.0
1,03,ALLIER,FRN,FRONT NATIONAL,15569.0
1,03,ALLIER,GEC,GENERATION ECOLOGIE,5202.0
1,03,ALLIER,MAJ,MAJORITE PRESIDENTIELLE,456.0
1,03,ALLIER,RDG,RADICAL DE GAUCHE,7108.0
