election_day,type,region,N,farleft,left,green,center,right,farright,other
2002-04-21,president,Auvergne-Rhône-Alpes,3321976,323854.0,472029.0,191041.0,253051.0,597258.0,620297.0,864446.0
2002-04-21,president,Bourgogne-Franche-Comté,1377707,142423.0,207869.0,63466.0,87840.0,254522.0,261422.0,360165.0
2002-04-21,president,Bretagne,1585745,189416.0,286515.0,102128.0,113920.0,342538.0,187323.0,363905.0
2002-04-21,president,Centre-Val de Loire,1221727,125029.0,184174.0,55098.0,82415.0,244240.0,210385.0,320386.0
2002-04-21,president,Corse,109462,6629.0,16836.0,3265.0,3660.0,30180.0,17166.0,31726.0
2002-04-21,president,Grand Est,2541252,263856.0,342419.0,131462.0,201141.0,482802.0,557020.0,562552.0
2002-04-21,president,Guadeloupe,91907,1325.0,21253.0,976.0,808.0,26557.0,2702.0,38286.0
2002-04-21,president,Guyane,23664,600.0,2506.0,455.0,401.0,4496.0,1180.0,14026.0
2002-04-21,president,Hauts-de-France,2836614,341400.0,457991.0,120631.0,168515.0,499050.0,551225.0,697802.0
2002-04-21,president,Ile-de-France,4004809,322072.0,680008.0,246605.0,298996.0,838289.0,583643.0,1035196.0
2002-04-21,president,La Réunion,233721,10478.0,91176.0,5001.0,5838.0,86830.0,8915.0,25483.0
2002-04-21,president,Martinique,89428,1476.0,26059.0,882.0,769.0,29424.0,1563.0,29255.0
2002-04-21,president,Normandie,1602607,194406.0,244600.0,75358.0,103982.0,330577.0,258194.0,395490.0
2002-04-21,president,Nouvelle-Aquitaine,2761182,298557.0,492891.0,143771.0,191250.0,574770.0,342313.0,717630.0
2002-04-21,president,Occitanie,2582366,252093.0,464596.0,134907.0,155156.0,425299.0,479197.0,671118.0
2002-04-21,president,Pays de la Loire,1673061,188451.0,270948.0,102449.0,137473.0,362643.0,203944.0,407153.0
2002-04-21,president,Provence-Alpes-Côte d'Azur,2134446,166683.0,277333.0,104647.0,130530.0,403768.0,498421.0,553064.0
2002-06-09,legislative,Auvergne-Rhône-Alpes,2982282,146835.0,649098.0,186148.0,117380.0,1033538.0,358396.0,490887.0
2002-06-09,legislative,Bourgogne-Franche-Comté,1230073,33195.0,301278.0,55858.0,33019.0,442899.0,158856.0,204968.0
2002-06-09,legislative,Bretagne,1453671,59226.0,440184.0,86348.0,59606.0,531882.0,80277.0,196148.0
2002-06-09,legislative,Centre-Val de Loire,1095709,50953.0,261574.0,62137.0,78904.0,382380.0,128797.0,130964.0
2002-06-09,legislative,Corse,117573,8388.0,3916.0,1591.0,0.0,27703.0,6045.0,69930.0
2002-06-09,legislative,Grand Est,2156947,66751.0,440431.0,133371.0,109829.0,792727.0,285077.0,328761.0
2002-06-09,legislative,Guadeloupe,89581,3054.0,8543.0,1355.0,1264.0,25401.0,0.0,49964.0
2002-06-09,legislative,Guyane,16948,0.0,0.0,0.0,248.0,6492.0,406.0,9802.0
2002-06-09,legislative,Hauts-de-France,2480058,193226.0,642948.0,87134.0,120325.0,685945.0,354378.0,396102.0
2002-06-09,legislative,Ile-de-France,3929495,248348.0,828218.0,306558.0,187784.0,1421280.0,393710.0,543597.0
2002-06-09,legislative,La Réunion,221770,48676.0,30497.0,5479.0,0.0,64563.0,2904.0,69651.0
2002-06-09,legislative,Martinique,83602,440.0,12222.0,703.0,0.0,27826.0,218.0,42193.0
2002-06-09,legislative,Normandie,1410722,80930.0,326000.0,60265.0,125918.0,390160.0,150606.0,276843.0
2002-06-09,legislative,Nouvelle-Aquitaine,2601687,125655.0,841897.0,102909.0,159406.0,821015.0,196789.0,354016.0
2002-06-09,legislative,Occitanie,2379271,134450.0,688140.0,113196.0,91298.0,685645.0,295424.0,371118.0
2002-06-09,legislative,Pays de la Loire,1512867,38208.0,360924.0,104678.0,74353.0,542658.0,94010.0,298036.0
2002-06-09,legislative,Provence-Alpes-Côte d'Azur,1896283,111673.0,301993.0,133960.0,68641.0,650402.0,360761.0,268853.0
